table_name,column_name,data_type,is_nullable,column_default,is_primary_key,is_unique,referenced_table,referenced_column
organized_competition_participants,equipment,text,YES,null,null,null,null,null
organized_competition_participants,gender,text,YES,null,null,null,null,null
organized_competition_participants,organized_competition_id,uuid,YES,null,null,null,organized_competitions,organized_competition_id
organized_competition_participants,participant_id,uuid,NO,null,PK,null,null,null
organized_competition_participants,updated_at,timestamp without time zone,YES,now(),null,null,null,null
organized_competitions,competition_date,date,YES,null,null,null,null,null
organized_competitions,created_at,timestamp without time zone,YES,now(),null,null,null,null
organized_competitions,created_by,uuid,YES,null,null,null,users,id
organized_competitions,description,text,YES,null,null,null,null,null
organized_competitions,distance,integer,YES,null,null,null,null,null
organized_competitions,end_date,date,YES,null,null,null,null,null
organized_competitions,environment,text,YES,null,null,null,null,null
organized_competitions,name,text,YES,null,null,null,null,null
organized_competitions,organized_competition_id,uuid,NO,null,PK,null,null,null
organized_competitions,organizing_club_id,uuid,YES,null,null,null,clubs,club_id
organized_competitions,registration_end_date,date,YES,null,null,null,null,null
organized_competitions,registration_start_date,date,YES,null,null,null,null,null
organized_competitions,start_date,date,YES,null,null,null,null,null
organized_competitions,status,text,YES,'draft'::text,null,null,null,null
organized_competitions,type,text,YES,null,null,null,null,null
organized_competitions,updated_at,timestamp without time zone,YES,now(),null,null,null,null
organized_competitions_duplicate,created_at,timestamp without time zone,YES,now(),null,null,null,null
organized_competitions_duplicate,created_by,uuid,YES,null,null,null,users,id
organized_competitions_duplicate,distance,integer,YES,null,null,null,null,null
organized_competitions_duplicate,end_date,date,YES,null,null,null,null,null
organized_competitions_duplicate,environment,text,YES,null,null,null,null,null
organized_competitions_duplicate,name,text,YES,null,null,null,null,null
organized_competitions_duplicate,organized_competition_id,uuid,NO,null,PK,null,null,null
organized_competitions_duplicate,organizing_club_id,uuid,YES,null,null,null,clubs,club_id
organized_competitions_duplicate,start_date,date,YES,null,null,null,null,null
organized_competitions_duplicate,type,text,YES,null,null,null,null,null
organized_competitions_duplicate,updated_at,timestamp without time zone,YES,now(),null,null,null,null
organized_elimination_matches,athlete1_id,uuid,YES,null,null,null,athletes,athlete_id
organized_elimination_matches,athlete2_id,uuid,YES,null,null,null,athletes,athlete_id
organized_elimination_matches,created_at,timestamp without time zone,YES,now(),null,null,null,null
