schema,table,column,data_type,enum_allowed_values,is_nullable,column_default,is_identity,generated_kind,is_primary_key,is_unique,fk_schema,fk_table,fk_column,check_expression
auth,saml_relay_states,sso_provider_id,uuid,null,false,null,false,null,false,false,auth,sso_providers,id,CHECK ((char_length(request_id) > 0))
auth,saml_relay_states,request_id,text,null,false,null,false,null,false,false,null,null,null,CHECK ((char_length(request_id) > 0))
auth,saml_relay_states,for_email,text,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(request_id) > 0))
auth,saml_relay_states,redirect_to,text,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(request_id) > 0))
auth,saml_relay_states,created_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(request_id) > 0))
auth,saml_relay_states,updated_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(request_id) > 0))
auth,saml_relay_states,flow_state_id,uuid,null,true,null,false,null,false,false,auth,flow_state,id,CHECK ((char_length(request_id) > 0))
auth,schema_migrations,version,character varying(255),null,false,null,false,null,true,false,null,null,null,null
auth,sessions,id,uuid,null,false,null,false,null,true,false,null,null,null,null
auth,sessions,user_id,uuid,null,false,null,false,null,false,false,auth,users,id,null
auth,sessions,created_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,null
auth,sessions,updated_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,null
auth,sessions,factor_id,uuid,null,true,null,false,null,false,false,null,null,null,null
auth,sessions,aal,auth.aal_level,"aal1, aal2, aal3",true,null,false,null,false,false,null,null,null,null
auth,sessions,not_after,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,null
auth,sessions,refreshed_at,timestamp without time zone,null,true,null,false,null,false,false,null,null,null,null
auth,sessions,user_agent,text,null,true,null,false,null,false,false,null,null,null,null
auth,sessions,ip,inet,null,true,null,false,null,false,false,null,null,null,null
auth,sessions,tag,text,null,true,null,false,null,false,false,null,null,null,null
auth,sso_domains,id,uuid,null,false,null,false,null,true,false,null,null,null,CHECK ((char_length(domain) > 0))
auth,sso_domains,sso_provider_id,uuid,null,false,null,false,null,false,false,auth,sso_providers,id,CHECK ((char_length(domain) > 0))
auth,sso_domains,domain,text,null,false,null,false,null,false,false,null,null,null,CHECK ((char_length(domain) > 0))
auth,sso_domains,created_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(domain) > 0))
auth,sso_domains,updated_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(domain) > 0))
auth,sso_providers,id,uuid,null,false,null,false,null,true,false,null,null,null,CHECK (((resource_id = NULL::text) OR (char_length(resource_id) > 0)))
auth,sso_providers,resource_id,text,null,true,null,false,null,false,false,null,null,null,CHECK (((resource_id = NULL::text) OR (char_length(resource_id) > 0)))
auth,sso_providers,created_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((resource_id = NULL::text) OR (char_length(resource_id) > 0)))
auth,sso_providers,updated_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((resource_id = NULL::text) OR (char_length(resource_id) > 0)))
auth,sso_providers,disabled,boolean,null,true,null,false,null,false,false,null,null,null,CHECK (((resource_id = NULL::text) OR (char_length(resource_id) > 0)))
auth,users,instance_id,uuid,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,id,uuid,null,false,null,false,null,true,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,aud,character varying(255),null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,role,character varying(255),null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,email,character varying(255),null,true,null,false,null,false,true,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,encrypted_password,character varying(255),null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,email_confirmed_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,invited_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,confirmation_token,character varying(255),null,true,null,false,null,false,true,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
auth,users,confirmation_sent_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))
